"question","option_1","option_2","option_3","correct_index","explanation"
"What is a key characteristic of machine learning in the context of AI capabilities?","Uses algorithms to learn from data and make decisions","Relies on preprogrammed rules to make decisions","Can perfectly mimic human intelligence and decision-making","0","The correct answer is:A - Machine learning involves algorithms that learn patterns from data to make decisions, distinguishing it from rule-based systems or claims of mimicking human intelligence."
"What is a benefit of a diverse, balanced, and large dataset?","Training time","Data privacy","Model accuracy","2","The correct answer is:C - A diverse, balanced, and large dataset improves model accuracy by providing a comprehensive representation of the target population, reducing bias and enhancing generalization."
"What should be done to prevent bias from entering an AI system when training it?","Use alternative assumptions.","Import diverse training data.","Include Proxy variables.","1","The correct answer is:B - Importing diverse training data helps prevent bias by ensuring the model is exposed to a wide range of perspectives and demographics, reducing the risk of skewed outcomes."
"Cloud kicks wants to decrease the workload for its customer care agents by implementing a chat bot on its website that partially deflects incoming cases by answering frequency asked questions Which field of AI is most suitable for this scenario?","Natural language processing","Computer vision","Predictive analytics","0","The correct answer is:A - Natural language processing (NLP) enables chatbots to understand and respond to customer queries, making it ideal for handling FAQs and reducing agent workload."
"Which Einstein capability uses emails to create content for Knowledge articles?","Generate","Discover","Predict","0","The correct answer is:A - Einstein's Generate capability uses AI to create content, such as Knowledge articles, based on existing data like emails."
"How does an organization benefit from using AI to personalize the shopping experience of online customers?","Customers are more likely to share personal information with a site that personalizes their experience.","Customers are more likely to be satisfied with their shopping experience.","Customers are more likely to visit competitor sites that personalize their experience.","1","The correct answer is:B - Personalized shopping experiences, driven by AI, increase customer satisfaction by delivering relevant products and content, improving engagement and loyalty."
"Cloud Kicks wants to use AI to enhance its sales processes and customer support. Which capacity should they use?","Dashboard of Current Leads and Cases","Sales path and Automaton Case Escalations","Einstein Lead Scoring and Case Classification","2","The correct answer is:C - Einstein Lead Scoring and Case Classification use AI to prioritize leads and categorize support cases, enhancing sales and customer support efficiency."
"A developer is tasked with selecting a suitable dataset for training an AI model in Salesforce to accurately predict current customer behavior. What is a crucial factor that the developer should consider during selection?","Number of variables in the dataset","Size of the dataset","Age of the dataset","2","The correct answer is:C - The age of the dataset is crucial, as outdated data may not reflect current customer behavior, leading to inaccurate predictions."
"What should an organization do to enforce consistency across accounts for newly entered records?","Merge all duplicate accounts into a single record when duplicate entries are detected.","Input the data exactly as it appears from the source, such as the company's website or social media,","Implement naming conventions or a predefined list of user-selectable values for organization-wide records.","2","The correct answer is:C - Implementing naming conventions or predefined pick lists ensures consistency in how data is entered across accounts, reducing variability."
"Cloud Kicks wants to evaluate its data quality to ensure accurate and up-to-date records. Which type of records negatively impact data quality?","Structured","Complete","Duplicate","2","The correct answer is:C - Duplicate records negatively impact data quality by creating redundancy, confusion, and potential errors in analysis or customer interactions."
"How does AI within CRM help sales representatives better understand previous customer interactions?","Creates, localizes, and translates product descriptions","Triggers personalized service replies","Provides call summaries","2","The correct answer is:C - AI in CRM provides call summaries, enabling sales reps to quickly review past interactions and better understand customer needs."
"What is a societal implication of excluding ethics in AI development?","Faster and cheaper development","More innovation and creativity","Harm to marginalized communities","2","The correct answer is:C - Excluding ethics in AI development can lead to biased systems that harm marginalized communities by perpetuating discrimination or exclusion."
"A sales manager is looking to enhance the quality of lead data in their CRM system. Which process will most likely help the team accomplish this goal?","Redesign the lead conversion process,","Review and update missing lead information.","Prioritize active leads quarterly.","1","The correct answer is:B - Reviewing and updating missing lead information improves data quality by ensuring completeness and accuracy, critical for effective lead management."
"Cloud Kicks relies on data analysis to optimize its product recommendations for customers. How will incomplete data quality impact the company's recommendations?","The response time for the product","The accuracy of the product","The diversity of the product","1","The correct answer is:B - Incomplete data reduces the accuracy of product recommendations, as the AI lacks sufficient information to make informed suggestions."
"A business analyst (BA) is preparing a new use case for AI. They run a report to check for null values in the attributes they plan to use. Which data quality component is the BA verifying by checking for null values?","Duplication","Usage","Completeness","2","The correct answer is:C - Checking for null values verifies data completeness, ensuring all required data points are present in the dataset."
"Which statement exemplifies Salesforce’s honesty guideline when training AI models?","Minimize the AI models carbon footprint and environment impact during training.","Ensure appropriate consent and transparency when using AI-generated responses.","Control bias, toxicity, and harmful content with embedded guardrails and guidance.","1","The correct answer is:B - Salesforce’s honesty guideline emphasizes transparency and consent, ensuring users are informed about AI-generated responses and their data usage."
"A sales manager wants to use AI to help sales representatives log their calls quicker and more accurately. Which functionality provides the best solution?","Call Summaries","Sales Dialer","Auto-Generated Sales Tasks","0","The correct answer is:A - Call Summaries use AI to automatically summarize call details, enabling faster and more accurate logging for sales reps."
"What are the three commonly used examples of AI in CRM?","Predictive scoring, reporting, Image classification","Predictive scoring, forecasting, recommendations","Einstein Bots, face recognition, recommendations","1","The correct answer is:B - Predictive scoring, forecasting, and recommendations are common AI applications in CRM, helping prioritize leads, predict sales, and personalize customer interactions."
"A financial institution plans a campaign for preapproved credit cards? How should they implement Salesforce's Trusted AI Principle of Transparency?","Communicate how risk factors such as credit score can impact customer eligibility.","Flag sensitive variables and their proxies to prevent discriminatory lending practices.","Incorporate customer feedback into the model's continuous training.","0","The correct answer is:A - Transparency involves clearly communicating how decisions (e.g., credit card eligibility) are made, including the role of factors like credit scores, to build trust."
"The Cloud technical team is assessing the effectiveness of their AI development processes? Which established Salesforce Ethical Maturity Model should the team use to guide the development of trusted AI solution?","Ethical AI Prediction Maturity Model","Ethical AI Process Maturity Model","Ethical AI practice Maturity Model","1","The correct answer is:B - The Ethical AI Process Maturity Model provides a framework for assessing and improving AI development processes to ensure ethical and trusted outcomes."
"How does the 'right of least privilege' reduce the risk of handling sensitive personal data?","By limiting how many people have access to data","By reducing how many attributes are collected","By applying data retention policies","0","The correct answer is:A - The 'right of least privilege' minimizes risk by restricting data access to only those who need it, reducing the chance of unauthorized use or breaches."
"Cloud Kicks wants to evaluate the quality of its sales data. Which first step should they take for the data quality assessment?","Plan and align territories,","Run a new report or dashboard.","Identify business objectives.","2","The correct answer is:C - Identifying business objectives is the first step in a data quality assessment, as it defines the goals and criteria for evaluating data quality."
"Cloud Kicks implements a new product recommendation feature for its shoppers that recommends shoes of a given color to display to customers based on the color of the products from their purchase history. Which type of bias is most likely to be encountered in this scenario?","Confirmation","Survivorship","Societal","0","The correct answer is:A - Confirmation bias is likely, as the system may reinforce existing customer preferences (e.g., color choices) without considering broader options, limiting diversity in recommendations."
"Cloud Kicks wants to use Einstein Prediction Builder to determine a customer's likelihood of buying specific products; however, data quality is a... How can data quality be assessed quality?","Build a Data Management Strategy.","Build reports to expire the data quality.","Leverage data quality apps from AppExchange","2","The correct answer is:C - Leveraging data quality apps from AppExchange provides specialized tools to assess and improve data quality, addressing issues like duplicates or inconsistencies."
"What is a sensitive variable that can lead to bias?","Education level","Country","Gender","2","The correct answer is:C - Gender is a sensitive variable that can introduce bias if used inappropriately, as it may lead to discriminatory outcomes in AI models."
"What is one technique to mitigate bias and ensure fairness in AI applications?","Ongoing auditing and monitoring of data that is used in AI applications","Excluding data features from the AI application to benefit a population","Using data that contains more examples of minority groups than majority groups","0","The correct answer is:A - Ongoing auditing and monitoring of data help identify and mitigate bias, ensuring fairness by detecting issues in real-time."
"What is the best method to safeguard customer data privacy?","Automatically anonymize all customer data.","Track customer data consent preferences.","Archive customer data on a recurring schedule.","1","The correct answer is:B - Tracking customer data consent preferences ensures compliance with privacy regulations and respects customer choices, safeguarding privacy effectively."
"What does the term 'data completeness' refer to in the context of data quality?","The degree to which all required data points are present in the dataset","The process of aggregating multiple datasets from various databases","The ability to access data from multiple sources in real time","0","The correct answer is:A - Data completeness refers to the presence of all required data points in a dataset, ensuring no critical information is missing for analysis."
"What is machine learning?","AI that can grow its intelligence","AI that creates new content","A data model used in Salesforce","0","The correct answer is:A - Machine learning is a subset of AI where algorithms learn from data to make decisions or predictions, improving over time with more data."
"Which type of bias imposes a system’s values on others?","Association","Automation","Societal","2","The correct answer is:C - Societal bias imposes societal values or stereotypes on AI outputs, leading to unfair or discriminatory results."
"What should organizations do to ensure data quality for their AI initiatives?","Collect and curate high-quality data from reliable sources.","Rely on AI algorithms to automatically handle data quality issues.","Prioritize model fine-tuning over data quality improvements.","0","The correct answer is:A - Collecting and curating high-quality data from reliable sources is essential for ensuring accurate and unbiased AI outcomes."
"Cloud Kicks uses Einstein to generate predictions but is not seeing accurate results? What is a potential reason for this?","Poor data quality","The wrong product","Too much data","0","The correct answer is:A - Poor data quality, such as inaccuracies or incompleteness, is a common reason for inaccurate AI predictions, as models rely on data to learn patterns."
"How does AI assist in lead qualification?","Scores leads based on customer data","Creates personalized SMS campaigns","Automatically interacts with prospects","0","The correct answer is:A - AI assists in lead qualification by scoring leads based on customer data, helping sales teams prioritize high-potential prospects."
"Which AI tool is a web of connections, guided by weights and biases?","Neural networks","Predictive Analytics","Rules-based systems","0","The correct answer is:A - Neural networks are AI models composed of interconnected nodes with weights and biases, used for complex pattern recognition and decision-making."
"How does poor data quality affect predictive and generative AI models?","Creates inaccurate results","Increases raw data volume","Decreases storage efficiency","0","The correct answer is:A - Poor data quality leads to inaccurate results in both predictive and generative AI models, as they rely on reliable data to produce correct outputs."
"What is the significance of explainability of trusted AI systems?","Increases the complexity of AI models","Enhances the security and accuracy of AI models","Describes how AI models make decisions","2","The correct answer is:C - Explainability in trusted AI systems involves describing how models make decisions, fostering transparency and user trust."
"A consultant conducts a series of Consequence Scanning workshops to support testing diverse datasets. Which Salesforce Trusted AI Principles is being practiced?","Transparency","Inclusivity","Accountability","1","The correct answer is:B - Testing diverse datasets aligns with the Inclusivity principle, ensuring AI systems are fair and representative of varied populations."
"Which action should be taken to develop and implement trusted generative AI with Salesforce's safety guideline in mind?","Develop right-sized models to reduce our carbon footprint.","Create guardrails that mitigate toxicity and protect PII","Be transparent when AI has created and automatically delivered content.","1","The correct answer is:B - Creating guardrails to mitigate toxicity and protect personally identifiable information (PII) ensures safe and ethical generative AI use."
"Cloud Kicks' latest email campaign is struggling to attract new customers. How can AI increase the company's customer email engagement?","Create personalized emails","Resend emails to inactive recipients","Remove invalid email addresses","0","The correct answer is:A - AI can increase email engagement by creating personalized emails tailored to customer preferences, improving relevance and response rates."
"How does data quality impact the trustworthiness of AI-driven decisions?","The use of both low-quality and high-quality data can improve the accuracy and reliability of AI-driven decisions.","High-quality data improves the reliability and credibility of AI-driven decisions, fostering trust among users.","Low-quality data reduces the risk of overfitting the model, improving the trustworthiness of the predictions.","1","The correct answer is:B - High-quality data ensures reliable and credible AI-driven decisions, building trust by reducing errors and biases."
"Cloud Kicks discovered multiple variations of state and country values in contact records. Which data quality dimension is affected by this issue?","Usage","Accuracy","Consistency","2","The correct answer is:C - Multiple variations of state and country values indicate a lack of consistency, as the data is not uniformly formatted across records."
"What is a key consideration regarding data quality in AI implementation?","Techniques from customizing AI features in Salesforce","Data’s role in training and fine-tuning Salesforce AI models","Integration process of AI models with Salesforce workflows","1","The correct answer is:B - Data quality is critical in training and fine-tuning AI models, as it directly affects the accuracy and fairness of the models’ outputs."
"What is the main focus of the Accountability principle in Salesforce's Trusted AI Principles?","Safeguarding fundamental human rights and protecting sensitive data","Taking responsibility for one’s actions toward customers, partners, and society","Ensuring transparency in AI-driven recommendations and predictions","1","The correct answer is:B - The Accountability principle emphasizes taking responsibility for AI actions and their impact on customers, partners, and society."
"A sales manager wants to improve their processes using AI in Salesforce? Which application of AI would be most beneficial?","Lead scoring and opportunity forecasting","Sales dashboards and reporting","Data modeling and management","0","The correct answer is:A - Lead scoring and opportunity forecasting use AI to prioritize high-value leads and predict sales outcomes, directly improving sales processes."
"What is a benefit of data quality and transparency as it pertains to bias in generated AI?","Chances of bias are mitigated","Chances of bias are aggravated","Chances of bias are removed","0","The correct answer is:A - High data quality and transparency help mitigate bias in generative AI by ensuring fair data inputs and clear decision-making processes."
"Cloud Kicks is testing a new AI model. Which approach aligns with Salesforce's Trusted AI Principle of Inclusivity?","Test only with data from a specific region or demographic to limit the risk of data leaks.","Rely on a development team with uniform backgrounds to assess the potential societal implications of the model.","Test with diverse and representative datasets appropriate for how the model will be used.","2","The correct answer is:C - Testing with diverse and representative datasets aligns with Inclusivity, ensuring the model performs fairly across different groups."
"What is the most likely impact that high-quality data will have on customer relationships?","Increased brand loyalty","Higher customer acquisition costs","Improved customer trust and satisfaction","2","The correct answer is:C - High-quality data enables accurate and personalized customer interactions, improving trust and satisfaction."
"A developer has a large amount of data, but it is scattered across different systems and is not standardized. Which key data quality element should they focus on to ensure the effectiveness of the AI models?","Performance","Consistency","Volume","1","The correct answer is:B - Consistency is critical when data is scattered and not standardized, as it ensures uniformity across systems for effective AI model training."
"Cloud Kicks learns of complaints from customers who are receiving too many sales calls and emails. Which data quality dimension should be assessed to reduce these communication inefficiencies?","Duplication","Usage","Consent","0","The correct answer is:A - Duplication in customer records can lead to multiple communications to the same customer, causing inefficiencies and annoyance."
"Cloud Kicks wants to ensure that multiple records for the same customer are removed in Salesforce. Which feature should be used to accomplish this?","Duplicate management","Trigger deletion of old records","Standardized field names","0","The correct answer is:A - Duplicate management in Salesforce identifies and merges duplicate records, ensuring a single, accurate customer profile."
"A business analyst (BA) wants to improve business by enhancing their sales processes and customer support. Which AI application should the BA use to meet their needs?","Sales data cleansing and customer support data governance","Machine learning models and chatbot predictions","Lead scoring, opportunity forecasting, and case classification","2","The correct answer is:C - Lead scoring, opportunity forecasting, and case classification directly enhance sales and support by prioritizing leads, predicting outcomes, and streamlining case handling."
"What are the potential consequences of an organization suffering from poor data quality?","Low employee morale, stock devaluation, and inability to attract top talent","Revenue loss, poor customer service, and reputational damage","Technical debt, monolithic system architecture, and slow ETL throughput","1","The correct answer is:B - Poor data quality can lead to revenue loss (from inaccurate decisions), poor customer service (due to errors), and reputational damage (from mistrust)."
"Cloud Kicks wants to optimize its business operations by incorporating AI into its CRM. What should the company do first to prepare its data for use with AI?","Remove biased data.","Determine data availability.","Determine data outcomes.","1","The correct answer is:B - Determining data availability is the first step to assess what data exists and can be used for AI, ensuring a solid foundation."
"Cloud Kicks plans to use automated chat as its primary support channel. Which Einstein feature should they use?","Discovery","Bots","Next Best Action","1","The correct answer is:B - Einstein Bots enable automated chat support, handling customer queries and reducing the need for human intervention."
"What role does data quality play in the ethical use of AI applications?","Low-quality data reduces the risk of unintended bias as the data is not overfitted to demographic groups.","High-quality data is essential for ensuring unbiased and fair AI decisions, promoting ethical use, and preventing discrimination","High-quality data ensures the process of demographic attributes requires for personalized campaigns.","1","The correct answer is:B - High-quality data prevents bias and ensures fair AI decisions, promoting ethical use by reducing errors and discrimination risks."
"Which action introduces bias in the training data used for AI algorithms?","Using a large dataset that is computationally expensive","Using a dataset that represents diverse perspectives and populations","Using a dataset that underrepresents perspectives and populations","2","The correct answer is:C - Underrepresenting certain perspectives or populations in the dataset introduces bias by skewing the model toward overrepresented groups."
"What is a key benefit of effective interaction between humans and AI systems?","Leads to more informed and balanced decision making","Alerts humans to the presence of biased data","Reduces the need for human involvement","0","The correct answer is:A - Effective human-AI interaction combines human judgment with AI insights, leading to more informed and balanced decisions."
